year,month,Symbol,Closing,Date,MAX
14,08,DSCT,602.61,14/08,1013.4173913043478
14,09,DSCT,619.84,14/09,1013.4173913043478
14,10,DSCT,619.8111111111111,14/10,1013.4173913043478
14,11,DSCT,608.0238095238095,14/11,1013.4173913043478
14,12,DSCT,629.7782608695652,14/12,1013.4173913043478
15,01,DSCT,621.6380952380952,15/01,1013.4173913043478
15,02,DSCT,615.14,15/02,1013.4173913043478
15,03,DSCT,653.0285714285715,15/03,1013.4173913043478
15,04,DSCT,682.7315789473683,15/04,1013.4173913043478
15,05,DSCT,680.28,15/05,1013.4173913043478
15,06,DSCT,715.5,15/06,1013.4173913043478
15,07,DSCT,738.7952380952381,15/07,1013.4173913043478
15,08,DSCT,752.45,15/08,1013.4173913043478
15,09,DSCT,736.7333333333333,15/09,1013.4173913043478
15,10,DSCT,720.0315789473684,15/10,1013.4173913043478
15,11,DSCT,718.7272727272729,15/11,1013.4173913043478
15,12,DSCT,695.4260869565218,15/12,1013.4173913043478
16,01,DSCT,667.4285714285713,16/01,1013.4173913043478
16,02,DSCT,643.5142857142857,16/02,1013.4173913043478
16,03,DSCT,642.5409090909089,16/03,1013.4173913043478
16,04,DSCT,632.7315789473683,16/04,1013.4173913043478
16,05,DSCT,633.0571428571429,16/05,1013.4173913043478
16,06,DSCT,643.8619047619047,16/06,1013.4173913043478
16,07,DSCT,662.8333333333335,16/07,1013.4173913043478
16,08,DSCT,680.0954545454545,16/08,1013.4173913043478
16,09,DSCT,699.0380952380953,16/09,1013.4173913043478
16,10,DSCT,707.9846153846154,16/10,1013.4173913043478
16,11,DSCT,747.6909090909091,16/11,1013.4173913043478
16,12,DSCT,786.6238095238097,16/12,1013.4173913043478
17,01,DSCT,799.9695652173914,17/01,1013.4173913043478
17,02,DSCT,798.7900000000001,17/02,1013.4173913043478
17,03,DSCT,818.8095238095236,17/03,1013.4173913043478
17,04,DSCT,867.7647058823527,17/04,1013.4173913043478
17,05,DSCT,898.4578947368421,17/05,1013.4173913043478
17,06,DSCT,911.0428571428572,17/06,1013.4173913043478
17,07,DSCT,919.9318181818181,17/07,1013.4173913043478
17,08,DSCT,916.8590909090908,17/08,1013.4173913043478
17,09,DSCT,891.3833333333334,17/09,1013.4173913043478
17,10,DSCT,913.0105263157895,17/10,1013.4173913043478
17,11,DSCT,955.6681818181819,17/11,1013.4173913043478
17,12,DSCT,989.4285714285714,17/12,1013.4173913043478
18,01,DSCT,1013.4173913043478,18/01,1013.4173913043478
18,02,DSCT,984.04375,18/02,1013.4173913043478
13,02,FTIN,4256.300325,13/02,7539.217391304348
13,03,FTIN,4254.207088888888,13/03,7539.217391304348
13,04,FTIN,4276.485742105263,13/04,7539.217391304348
13,05,FTIN,4405.4493200000015,13/05,7539.217391304348
13,06,FTIN,4572.194323809525,13/06,7539.217391304348
13,07,FTIN,4584.947172727272,13/07,7539.217391304348
13,08,FTIN,4647.797795238095,13/08,7539.217391304348
13,09,FTIN,4702.018787500001,13/09,7539.217391304348
13,10,FTIN,4825.015078260868,13/10,7539.217391304348
13,11,FTIN,4886.17802,13/11,7539.217391304348
13,12,FTIN,4864.156808695653,13/12,7539.217391304348
14,01,FTIN,4826.726131818181,14/01,7539.217391304348
14,02,FTIN,4783.127145,14/02,7539.217391304348
14,03,FTIN,4932.154466666667,14/03,7539.217391304348
14,04,FTIN,5092.6898,14/04,7539.217391304348
14,05,FTIN,5038.944657894735,14/05,7539.217391304348
14,06,FTIN,4909.7199949999995,14/06,7539.217391304348
14,07,FTIN,4840.2302913043495,14/07,7539.217391304348
14,08,FTIN,4890.689229999998,14/08,7539.217391304348
14,09,FTIN,5039.834930000001,14/09,7539.217391304348
14,10,FTIN,4943.741344444445,14/10,7539.217391304348
14,11,FTIN,4775.44998095238,14/11,7539.217391304348
14,12,FTIN,4631.405934782609,14/12,7539.217391304348
15,01,FTIN,4433.172214285714,15/01,7539.217391304348
15,02,FTIN,4449.742480000001,15/02,7539.217391304348
15,03,FTIN,4787.15240952381,15/03,7539.217391304348
15,04,FTIN,4863.205231578947,15/04,7539.217391304348
15,05,FTIN,4732.8973099999985,15/05,7539.217391304348
15,06,FTIN,4815.542277272728,15/06,7539.217391304348
15,07,FTIN,4879.0898857142865,15/07,7539.217391304348
15,08,FTIN,4804.51395,15/08,7539.217391304348
15,09,FTIN,4478.979973333333,15/09,7539.217391304348
15,10,FTIN,4443.15962105263,15/10,7539.217391304348
15,11,FTIN,4352.1691,15/11,7539.217391304348
15,12,FTIN,4206.55985652174,15/12,7539.217391304348
16,01,FTIN,4238.279547619048,16/01,7539.217391304348
16,02,FTIN,3994.9061285714283,16/02,7539.217391304348
16,03,FTIN,4265.55424090909,16/03,7539.217391304348
16,04,FTIN,4320.333789473683,16/04,7539.217391304348
16,05,FTIN,4359.878804761905,16/05,7539.217391304348
16,06,FTIN,4338.643728571427,16/06,7539.217391304348
16,07,FTIN,4360.446800000001,16/07,7539.217391304348
16,08,FTIN,4455.615504545454,16/08,7539.217391304348
16,09,FTIN,4415.238604761905,16/09,7539.217391304348
16,10,FTIN,4496.565823076923,16/10,7539.217391304348
16,11,FTIN,4699.4740136363625,16/11,7539.217391304348
16,12,FTIN,5174.7096095238085,16/12,7539.217391304348
17,01,FTIN,5343.041043478261,17/01,7539.217391304348
17,02,FTIN,5399.839674999998,17/02,7539.217391304348
17,03,FTIN,5698.765295238095,17/03,7539.217391304348
17,04,FTIN,5692.579064705882,17/04,7539.217391304348
